#GR700XD order  2:                1.30000  7.586031e-05  1.991891e+04  2.680489e-15  1.511054e-03
#                              Wavelength    Response
                                  0.79307  2.249119e+03
                                  0.79352  2.257774e+03
                                  0.79398  2.266200e+03
                                  0.79443  2.274607e+03
                                  0.79488  2.282743e+03
                                  0.79534  2.290971e+03
                                  0.79579  2.299301e+03
                                  0.79624  2.308017e+03
                                  0.79670  2.316994e+03
                                  0.79715  2.326023e+03
                                  0.79761  2.335095e+03
                                  0.79806  2.343962e+03
                                  0.79851  2.352782e+03
                                  0.79897  2.361424e+03
                                  0.79942  2.370108e+03
                                  0.79987  2.378825e+03
                                  0.80033  2.388127e+03
                                  0.80078  2.397606e+03
                                  0.80123  2.407150e+03
                                  0.80169  2.416690e+03
                                  0.80214  2.426088e+03
                                  0.80259  2.435390e+03
                                  0.80305  2.444595e+03
                                  0.80350  2.453860e+03
                                  0.80396  2.463193e+03
                                  0.80441  2.473081e+03
                                  0.80486  2.483075e+03
                                  0.80532  2.493134e+03
                                  0.80577  2.503162e+03
                                  0.80622  2.513101e+03
                                  0.80668  2.522901e+03
                                  0.80713  2.532644e+03
                                  0.80758  2.542290e+03
                                  0.80804  2.551984e+03
                                  0.80849  2.561772e+03
                                  0.80894  2.571657e+03
                                  0.80940  2.581673e+03
                                  0.80985  2.591947e+03
                                  0.81031  2.602499e+03
                                  0.81076  2.613325e+03
                                  0.81121  2.624330e+03
                                  0.81167  2.635336e+03
                                  0.81212  2.646359e+03
                                  0.81257  2.656882e+03
                                  0.81303  2.667445e+03
                                  0.81348  2.677992e+03
                                  0.81393  2.688600e+03
                                  0.81439  2.699272e+03
                                  0.81484  2.710033e+03
                                  0.81529  2.720884e+03
                                  0.81575  2.731824e+03
                                  0.81620  2.742853e+03
                                  0.81666  2.753903e+03
                                  0.81711  2.765004e+03
                                  0.81756  2.776108e+03
                                  0.81802  2.787270e+03
                                  0.81847  2.798496e+03
                                  0.81892  2.809758e+03
                                  0.81938  2.821092e+03
                                  0.81983  2.832646e+03
                                  0.82028  2.844349e+03
                                  0.82074  2.856566e+03
                                  0.82119  2.868855e+03
                                  0.82164  2.881151e+03
                                  0.82210  2.893264e+03
                                  0.82255  2.905103e+03
                                  0.82301  2.916814e+03
                                  0.82346  2.928487e+03
                                  0.82391  2.940268e+03
                                  0.82437  2.952147e+03
                                  0.82482  2.964221e+03
                                  0.82527  2.976356e+03
                                  0.82573  2.988360e+03
                                  0.82618  3.000424e+03
                                  0.82663  3.012535e+03
                                  0.82709  3.024763e+03
                                  0.82754  3.037112e+03
                                  0.82799  3.049428e+03
                                  0.82845  3.061789e+03
                                  0.82890  3.074152e+03
                                  0.82936  3.086606e+03
                                  0.82981  3.099184e+03
                                  0.83026  3.111868e+03
                                  0.83072  3.124670e+03
                                  0.83117  3.137586e+03
                                  0.83162  3.150632e+03
                                  0.83208  3.163664e+03
                                  0.83253  3.176701e+03
                                  0.83298  3.189793e+03
                                  0.83344  3.202994e+03
                                  0.83389  3.216269e+03
                                  0.83434  3.229634e+03
                                  0.83480  3.243033e+03
                                  0.83525  3.256511e+03
                                  0.83571  3.270025e+03
                                  0.83616  3.283947e+03
                                  0.83661  3.298626e+03
                                  0.83707  3.313203e+03
                                  0.83752  3.327641e+03
                                  0.83797  3.341544e+03
                                  0.83843  3.355163e+03
                                  0.83888  3.368354e+03
                                  0.83933  3.381488e+03
                                  0.83979  3.394755e+03
                                  0.84024  3.408171e+03
                                  0.84069  3.422275e+03
                                  0.84115  3.436490e+03
                                  0.84160  3.450702e+03
                                  0.84206  3.464953e+03
                                  0.84251  3.479162e+03
                                  0.84296  3.493396e+03
                                  0.84342  3.507697e+03
                                  0.84387  3.522036e+03
                                  0.84432  3.536474e+03
                                  0.84478  3.550965e+03
                                  0.84523  3.565501e+03
                                  0.84568  3.580003e+03
                                  0.84614  3.594619e+03
                                  0.84659  3.608994e+03
                                  0.84704  3.623555e+03
                                  0.84750  3.638077e+03
                                  0.84795  3.652642e+03
                                  0.84841  3.667378e+03
                                  0.84886  3.681994e+03
                                  0.84931  3.696645e+03
                                  0.84977  3.711069e+03
                                  0.85022  3.725315e+03
                                  0.85067  3.739388e+03
                                  0.85113  3.753147e+03
                                  0.85158  3.767130e+03
                                  0.85203  3.781023e+03
                                  0.85249  3.795621e+03
                                  0.85294  3.810438e+03
                                  0.85339  3.825348e+03
                                  0.85385  3.840719e+03
                                  0.85430  3.855482e+03
                                  0.85476  3.870770e+03
                                  0.85521  3.885829e+03
                                  0.85566  3.900931e+03
                                  0.85612  3.916166e+03
                                  0.85657  3.931251e+03
                                  0.85702  3.946510e+03
                                  0.85748  3.961579e+03
                                  0.85793  3.976770e+03
                                  0.85838  3.992065e+03
                                  0.85884  4.007979e+03
                                  0.85929  4.023297e+03
                                  0.85974  4.039115e+03
                                  0.86020  4.054325e+03
                                  0.86065  4.069252e+03
                                  0.86111  4.084699e+03
                                  0.86156  4.099512e+03
                                  0.86201  4.115419e+03
                                  0.86247  4.131080e+03
                                  0.86292  4.147556e+03
                                  0.86337  4.164033e+03
                                  0.86383  4.180801e+03
                                  0.86428  4.197437e+03
                                  0.86473  4.213924e+03
                                  0.86519  4.230597e+03
                                  0.86564  4.247792e+03
                                  0.86609  4.265187e+03
                                  0.86655  4.282587e+03
                                  0.86700  4.300484e+03
                                  0.86746  4.317576e+03
                                  0.86791  4.334774e+03
                                  0.86836  4.351237e+03
                                  0.86882  4.367861e+03
                                  0.86927  4.384191e+03
                                  0.86972  4.401162e+03
                                  0.87018  4.418103e+03
                                  0.87063  4.435979e+03
                                  0.87108  4.453953e+03
                                  0.87154  4.471826e+03
                                  0.87199  4.489923e+03
                                  0.87244  4.508161e+03
                                  0.87290  4.526710e+03
                                  0.87335  4.544743e+03
                                  0.87381  4.563367e+03
                                  0.87426  4.581577e+03
                                  0.87471  4.600790e+03
                                  0.87517  4.619199e+03
                                  0.87562  4.638330e+03
                                  0.87607  4.656619e+03
                                  0.87653  4.674692e+03
                                  0.87698  4.692643e+03
                                  0.87743  4.710332e+03
                                  0.87789  4.728161e+03
                                  0.87834  4.746572e+03
                                  0.87879  4.765576e+03
                                  0.87925  4.784670e+03
                                  0.87970  4.803902e+03
                                  0.88016  4.822820e+03
                                  0.88061  4.841688e+03
                                  0.88106  4.860596e+03
                                  0.88152  4.879647e+03
                                  0.88197  4.898056e+03
                                  0.88242  4.916532e+03
                                  0.88288  4.934203e+03
                                  0.88333  4.952117e+03
                                  0.88378  4.969937e+03
                                  0.88424  4.988480e+03
                                  0.88469  5.007211e+03
                                  0.88514  5.027369e+03
                                  0.88560  5.045979e+03
                                  0.88605  5.066353e+03
                                  0.88651  5.086513e+03
                                  0.88696  5.106953e+03
                                  0.88741  5.126742e+03
                                  0.88787  5.144933e+03
                                  0.88832  5.160896e+03
                                  0.88877  5.176029e+03
                                  0.88923  5.191018e+03
                                  0.88968  5.206168e+03
                                  0.89013  5.223777e+03
                                  0.89059  5.241814e+03
                                  0.89104  5.262171e+03
                                  0.89149  5.282555e+03
                                  0.89195  5.303175e+03
                                  0.89240  5.323468e+03
                                  0.89286  5.342822e+03
                                  0.89331  5.362206e+03
                                  0.89376  5.381561e+03
                                  0.89422  5.401417e+03
                                  0.89467  5.422255e+03
                                  0.89512  5.443198e+03
                                  0.89558  5.464255e+03
                                  0.89603  5.485434e+03
                                  0.89648  5.506687e+03
                                  0.89694  5.527940e+03
                                  0.89739  5.549097e+03
                                  0.89784  5.570010e+03
                                  0.89830  5.590497e+03
                                  0.89875  5.610887e+03
                                  0.89921  5.631157e+03
                                  0.89966  5.651750e+03
                                  0.90011  5.672929e+03
                                  0.90057  5.694704e+03
                                  0.90102  5.717074e+03
                                  0.90147  5.740304e+03
                                  0.90193  5.762663e+03
                                  0.90238  5.785301e+03
                                  0.90283  5.806733e+03
                                  0.90329  5.828184e+03
                                  0.90374  5.849919e+03
                                  0.90419  5.872097e+03
                                  0.90465  5.895292e+03
                                  0.90510  5.918480e+03
                                  0.90556  5.942059e+03
                                  0.90601  5.964987e+03
                                  0.90646  5.987368e+03
                                  0.90692  6.009744e+03
                                  0.90737  6.032115e+03
                                  0.90782  6.054853e+03
                                  0.90828  6.078115e+03
                                  0.90873  6.101701e+03
                                  0.90918  6.125676e+03
                                  0.90964  6.149831e+03
                                  0.91009  6.174091e+03
                                  0.91054  6.198422e+03
                                  0.91100  6.222844e+03
                                  0.91145  6.247334e+03
                                  0.91191  6.271901e+03
                                  0.91236  6.296701e+03
                                  0.91281  6.321747e+03
                                  0.91327  6.346631e+03
                                  0.91372  6.371246e+03
                                  0.91417  6.395650e+03
                                  0.91463  6.419634e+03
                                  0.91508  6.443607e+03
                                  0.91553  6.467428e+03
                                  0.91599  6.491708e+03
                                  0.91644  6.516651e+03
                                  0.91689  6.541907e+03
                                  0.91735  6.567571e+03
                                  0.91780  6.593165e+03
                                  0.91826  6.618101e+03
                                  0.91871  6.643073e+03
                                  0.91916  6.667451e+03
                                  0.91962  6.692195e+03
                                  0.92007  6.717102e+03
                                  0.92052  6.742669e+03
                                  0.92098  6.768509e+03
                                  0.92143  6.795519e+03
                                  0.92188  6.822136e+03
                                  0.92234  6.850940e+03
                                  0.92279  6.878832e+03
                                  0.92324  6.908368e+03
                                  0.92370  6.936965e+03
                                  0.92415  6.964186e+03
                                  0.92461  6.990769e+03
                                  0.92506  7.015574e+03
                                  0.92551  7.042001e+03
                                  0.92597  7.067506e+03
                                  0.92642  7.095091e+03
                                  0.92687  7.122267e+03
                                  0.92733  7.150408e+03
                                  0.92778  7.178264e+03
                                  0.92823  7.206261e+03
                                  0.92869  7.234217e+03
                                  0.92914  7.262551e+03
                                  0.92959  7.291067e+03
                                  0.93005  7.319898e+03
                                  0.93050  7.348940e+03
                                  0.93096  7.378051e+03
                                  0.93141  7.407302e+03
                                  0.93186  7.435855e+03
                                  0.93232  7.464160e+03
                                  0.93277  7.492153e+03
                                  0.93322  7.519995e+03
                                  0.93368  7.548382e+03
                                  0.93413  7.577281e+03
                                  0.93458  7.606687e+03
                                  0.93504  7.636641e+03
                                  0.93549  7.666846e+03
                                  0.93594  7.697315e+03
                                  0.93640  7.728030e+03
                                  0.93685  7.758998e+03
                                  0.93731  7.790055e+03
                                  0.93776  7.820926e+03
                                  0.93821  7.852055e+03
                                  0.93867  7.883364e+03
                                  0.93912  7.914880e+03
                                  0.93957  7.945917e+03
                                  0.94003  7.977184e+03
                                  0.94048  8.006812e+03
                                  0.94093  8.036757e+03
                                  0.94139  8.066647e+03
                                  0.94184  8.096698e+03
                                  0.94229  8.128318e+03
                                  0.94275  8.160270e+03
                                  0.94320  8.192650e+03
                                  0.94366  8.225348e+03
                                  0.94411  8.256851e+03
                                  0.94456  8.288088e+03
                                  0.94502  8.319278e+03
                                  0.94547  8.350575e+03
                                  0.94592  8.382386e+03
                                  0.94638  8.414693e+03
                                  0.94683  8.447575e+03
                                  0.94728  8.481093e+03
                                  0.94774  8.514938e+03
                                  0.94819  8.549122e+03
                                  0.94864  8.583499e+03
                                  0.94910  8.617748e+03
                                  0.94955  8.652503e+03
                                  0.95001  8.687856e+03
                                  0.95046  8.723896e+03
                                  0.95091  8.760829e+03
                                  0.95137  8.798785e+03
                                  0.95182  8.835899e+03
                                  0.95227  8.874584e+03
                                  0.95273  8.911536e+03
                                  0.95318  8.950616e+03
                                  0.95363  8.987041e+03
                                  0.95409  9.025198e+03
                                  0.95454  9.062760e+03
                                  0.95499  9.099607e+03
                                  0.95545  9.137993e+03
                                  0.95590  9.174964e+03
                                  0.95636  9.213032e+03
                                  0.95681  9.252800e+03
                                  0.95726  9.291661e+03
                                  0.95772  9.331748e+03
                                  0.95817  9.371311e+03
                                  0.95862  9.412445e+03
                                  0.95908  9.453111e+03
                                  0.95953  9.493634e+03
                                  0.95998  9.534102e+03
                                  0.96044  9.575500e+03
                                  0.96089  9.617052e+03
                                  0.96134  9.657673e+03
                                  0.96180  9.698368e+03
                                  0.96225  9.738367e+03
                                  0.96271  9.778305e+03
                                  0.96316  9.818048e+03
                                  0.96361  9.857715e+03
                                  0.96407  9.898345e+03
                                  0.96452  9.940046e+03
                                  0.96497  9.982217e+03
                                  0.96543  1.002510e+04
                                  0.96588  1.006829e+04
                                  0.96633  1.011135e+04
                                  0.96679  1.015473e+04
                                  0.96724  1.019844e+04
                                  0.96769  1.024244e+04
                                  0.96815  1.028621e+04
                                  0.96860  1.033032e+04
                                  0.96906  1.037431e+04
                                  0.96951  1.041856e+04
                                  0.96996  1.046326e+04
                                  0.97042  1.050839e+04
                                  0.97087  1.055359e+04
                                  0.97132  1.059892e+04
                                  0.97178  1.064451e+04
                                  0.97223  1.069029e+04
                                  0.97268  1.073635e+04
                                  0.97314  1.078238e+04
                                  0.97359  1.082879e+04
                                  0.97404  1.087513e+04
                                  0.97450  1.092189e+04
                                  0.97495  1.096884e+04
                                  0.97541  1.101619e+04
                                  0.97586  1.106256e+04
                                  0.97631  1.110895e+04
                                  0.97677  1.115439e+04
                                  0.97722  1.119941e+04
                                  0.97767  1.124521e+04
                                  0.97813  1.129187e+04
                                  0.97858  1.133938e+04
                                  0.97903  1.138835e+04
                                  0.97949  1.143770e+04
                                  0.97994  1.148707e+04
                                  0.98039  1.153691e+04
                                  0.98085  1.158690e+04
                                  0.98130  1.163736e+04
                                  0.98176  1.168780e+04
                                  0.98221  1.173861e+04
                                  0.98266  1.178953e+04
                                  0.98312  1.184072e+04
                                  0.98357  1.189225e+04
                                  0.98402  1.194411e+04
                                  0.98448  1.199624e+04
                                  0.98493  1.204833e+04
                                  0.98538  1.210092e+04
                                  0.98584  1.215371e+04
                                  0.98629  1.220702e+04
                                  0.98674  1.226063e+04
                                  0.98720  1.231468e+04
                                  0.98765  1.236741e+04
                                  0.98811  1.242009e+04
                                  0.98856  1.247186e+04
                                  0.98901  1.252314e+04
                                  0.98947  1.257510e+04
                                  0.98992  1.262772e+04
                                  0.99037  1.268110e+04
                                  0.99083  1.273617e+04
                                  0.99128  1.279172e+04
                                  0.99173  1.284817e+04
                                  0.99219  1.290519e+04
                                  0.99264  1.296160e+04
                                  0.99309  1.301836e+04
                                  0.99355  1.307536e+04
                                  0.99400  1.313273e+04
                                  0.99446  1.319061e+04
                                  0.99491  1.324899e+04
                                  0.99536  1.330757e+04
                                  0.99582  1.336559e+04
                                  0.99627  1.342423e+04
                                  0.99672  1.348336e+04
                                  0.99718  1.354317e+04
                                  0.99763  1.360282e+04
                                  0.99808  1.366307e+04
                                  0.99854  1.372333e+04
                                  0.99899  1.378404e+04
                                  0.99944  1.384471e+04
